key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
h2736,h2736.mp3,8.0195,3,2.0,5.222608,6.375079,1.152472
h2737,h2737.mp3,7.96725,3,0.0,0.0,0.530385,0.530385
h2737,h2737.mp3,7.96725,3,1.0,3.006213,4.156984,1.150771
h2737,h2737.mp3,7.96725,3,2.0,5.231043,6.320431,1.089388
h2738,h2738.mp3,7.392625,3,0.0,0.0,0.500635,0.500635
h2738,h2738.mp3,7.392625,3,1.0,2.673878,3.835079,1.161202
h2738,h2738.mp3,7.392625,3,2.0,4.726961,5.85381,1.126848
h2739,h2739.mp3,7.653875,3,0.0,0.0,0.558526,0.558526
h2739,h2739.mp3,7.653875,3,1.0,2.860385,3.964104,1.103719
h2739,h2739.mp3,7.653875,3,2.0,4.958685,6.048095,1.08941
h2740,h2740.mp3,7.079125,3,0.0,0.0,0.528707,0.528707
h2740,h2740.mp3,7.079125,3,1.0,2.472676,3.588095,1.11542
h2740,h2740.mp3,7.079125,3,2.0,4.486803,5.571814,1.085011
h2741,h2741.mp3,7.653875,3,0.0,0.0,1.004036,1.004036
h2741,h2741.mp3,7.653875,3,1.0,3.896871,4.855125,0.958254
h2741,h2741.mp3,7.653875,3,2.0,5.75898,6.733107,0.974127
h2742,h2742.mp3,7.52325,3,0.0,0.0,0.478503,0.478503
h2742,h2742.mp3,7.52325,3,1.0,3.0361,4.149524,1.113424
h2742,h2742.mp3,7.52325,3,2.0,4.97127,6.076576,1.105306
h2743,h2743.mp3,8.045625,3,0.0,0.0,0.545261,0.545261
h2743,h2743.mp3,8.045625,3,1.0,3.405057,4.566372,1.161315
h2743,h2743.mp3,8.045625,3,2.0,5.415918,6.640091,1.224172
h2744,h2744.mp3,8.202375,3,0.0,0.0,0.569433,0.569433
h2744,h2744.mp3,8.202375,3,1.0,3.199252,4.281361,1.082109
h2744,h2744.mp3,8.202375,3,2.0,5.414354,6.583469,1.169116
h2745,h2745.mp3,8.17625,3,0.0,0.0,0.46195,0.46195
h2745,h2745.mp3,8.17625,3,1.0,3.078503,4.180249,1.101746
h2745,h2745.mp3,8.17625,3,2.0,5.314785,6.461701,1.146916
h2746,h2746.mp3,7.784375,3,0.0,0.0,0.513537,0.513537
h2746,h2746.mp3,7.784375,3,1.0,2.887279,4.002698,1.11542
h2746,h2746.mp3,7.784375,3,2.0,5.003946,6.116508,1.112562
h2747,h2747.mp3,7.053,3,0.0,0.0,0.558844,0.558844
h2747,h2747.mp3,7.053,3,1.0,3.026168,4.112313,1.086145
h2747,h2747.mp3,7.053,3,2.0,4.760023,5.856077,1.096054
h2748,h2748.mp3,8.48975,3,0.0,0.0,0.367211,0.367211
h2748,h2748.mp3,8.48975,3,1.0,2.914535,4.05,1.135465
h2748,h2748.mp3,8.48975,3,2.0,5.278957,6.507075,1.228118
h2749,h2749.mp3,9.45625,3,0.0,0.0,0.406667,0.406667
h2749,h2749.mp3,9.45625,3,1.0,3.288209,4.35424,1.066032
h2749,h2749.mp3,9.45625,3,2.0,6.06483,7.202925,1.138095
h2750,h2750.mp3,6.844,3,0.0,0.0,0.543764,0.543764
h2750,h2750.mp3,6.844,3,1.0,2.692857,3.861088,1.168231
h2750,h2750.mp3,6.844,3,2.0,4.549615,5.571701,1.022086
h2751,h2751.mp3,7.31425,3,0.0,0.0,0.558503,0.558503
h2751,h2751.mp3,7.31425,3,1.0,2.978526,4.065488,1.086961
h2751,h2751.mp3,7.31425,3,2.0,4.838934,5.969229,1.130295
h2753,h2753.mp3,7.392625,3,0.0,0.0,0.528685,0.528685
h2753,h2753.mp3,7.392625,3,1.0,3.024943,4.098277,1.073333
h2753,h2753.mp3,7.392625,3,2.0,4.906644,6.010862,1.104218
h2754,h2754.mp3,7.235875,3,0.0,0.0,0.500181,0.500181
h2754,h2754.mp3,7.235875,3,1.0,2.972268,4.131451,1.159184
h2754,h2754.mp3,7.235875,3,2.0,4.898889,5.978435,1.079546
h2755,h2755.mp3,18.10275,6,0.0,0.0,0.365669,0.365669
h2755,h2755.mp3,18.10275,6,1.0,3.170136,4.306168,1.136032
h2755,h2755.mp3,18.10275,6,2.0,6.015011,7.03932,1.024308
h2755,h2755.mp3,18.10275,6,3.0,8.877755,10.011519,1.133764
h2755,h2755.mp3,18.10275,6,4.0,11.273696,12.43619,1.162494
h2755,h2755.mp3,18.10275,6,5.0,14.503175,15.556417,1.053243
h2756,h2756.mp3,7.471,3,0.0,0.0,0.542585,0.542585
h2756,h2756.mp3,7.471,3,1.0,3.088186,4.154354,1.066168
h2756,h2756.mp3,7.471,3,2.0,4.987143,6.070159,1.083016
h2757,h2757.mp3,7.41875,3,0.0,0.0,0.56551,0.56551
h2757,h2757.mp3,7.41875,3,1.0,3.038685,4.102834,1.06415
h2757,h2757.mp3,7.41875,3,2.0,4.911701,6.030136,1.118435
h2758,h2758.mp3,7.20975,3,0.0,0.0,0.453605,0.453605
h2758,h2758.mp3,7.20975,3,1.0,2.842336,3.937891,1.095556
h2758,h2758.mp3,7.20975,3,2.0,4.75542,5.849773,1.094354
h2759,h2759.mp3,7.836625,3,0.0,0.0,0.51746,0.51746
h2759,h2759.mp3,7.836625,3,1.0,2.906757,4.041701,1.134943
h2759,h2759.mp3,7.836625,3,2.0,5.07458,6.197143,1.122562
h2760,h2760.mp3,7.131375,3,0.0,0.0,0.467415,0.467415
h2760,h2760.mp3,7.131375,3,1.0,2.709546,3.874649,1.165102
h2760,h2760.mp3,7.131375,3,2.0,4.636825,5.82059,1.183764
h2761,h2761.mp3,7.20975,3,0.0,0.0,0.555079,0.555079
h2761,h2761.mp3,7.20975,3,1.0,2.982268,4.112676,1.130408
h2761,h2761.mp3,7.20975,3,2.0,4.811202,5.95415,1.142948
h2762,h2762.mp3,8.306875,3,0.0,0.0,0.533696,0.533696
h2762,h2762.mp3,8.306875,3,1.0,3.201497,4.316032,1.114535
h2762,h2762.mp3,8.306875,3,2.0,5.447324,6.565556,1.118231
h2763,h2763.mp3,7.993375,3,0.0,0.0,0.563696,0.563696
h2763,h2763.mp3,7.993375,3,1.0,3.326417,4.445601,1.119184
h2763,h2763.mp3,7.993375,3,2.0,5.28551,6.500091,1.21458
h2764,h2764.mp3,15.4905,6,0.0,0.0,0.524739,0.524739
h2764,h2764.mp3,15.4905,6,1.0,3.047347,4.650771,1.603424
h2764,h2764.mp3,15.4905,6,2.0,5.330567,6.908844,1.578277
h2764,h2764.mp3,15.4905,6,3.0,7.610136,10.221156,2.61102
h2764,h2764.mp3,15.4905,6,4.0,11.580204,12.673605,1.093401
h2764,h2764.mp3,15.4905,6,5.0,13.249342,14.379161,1.129819
h2765,h2765.mp3,8.411375,3,0.0,0.0,0.581519,0.581519
h2765,h2765.mp3,8.411375,3,1.0,3.523787,4.594172,1.070385
h2765,h2765.mp3,8.411375,3,2.0,5.574626,6.776485,1.201859
h2767,h2767.mp3,7.5755,3,0.0,0.0,0.55932,0.55932
h2767,h2767.mp3,7.5755,3,1.0,3.187891,4.324127,1.136236
h2767,h2767.mp3,7.5755,3,2.0,5.082971,6.183084,1.100113
h2768,h2768.mp3,7.86275,3,0.0,0.0,0.552222,0.552222
h2768,h2768.mp3,7.86275,3,1.0,3.083039,4.168209,1.08517
h2768,h2768.mp3,7.86275,3,2.0,5.151497,6.298141,1.146644
h2769,h2769.mp3,8.124,3,0.0,0.0,0.560249,0.560249
h2769,h2769.mp3,8.124,3,1.0,3.136553,4.318095,1.181542
h2769,h2769.mp3,8.124,3,2.0,5.355215,6.508753,1.153537
h2770,h2770.mp3,7.706,3,0.0,0.0,0.564649,0.564649
h2770,h2770.mp3,7.706,3,1.0,2.834785,3.992472,1.157687
h2770,h2770.mp3,7.706,3,2.0,4.978503,6.174717,1.196213
h2771,h2771.mp3,8.2285,3,0.0,0.0,0.538345,0.538345
h2771,h2771.mp3,8.2285,3,1.0,3.332109,4.552902,1.220794
h2771,h2771.mp3,8.2285,3,2.0,5.461134,6.6539,1.192766
h2772,h2772.mp3,13.29625,6,0.0,0.0,1.034399,1.034399
h2772,h2772.mp3,13.29625,6,1.0,3.440408,4.457574,1.017166
h2772,h2772.mp3,13.29625,6,2.0,5.292902,6.296667,1.003764
h2772,h2772.mp3,13.29625,6,3.0,7.176939,7.698005,0.521066
h2772,h2772.mp3,13.29625,6,4.0,8.878821,9.888095,1.009274
h2772,h2772.mp3,13.29625,6,5.0,11.033447,12.042925,1.009478
h2773,h2773.mp3,7.888875,3,0.0,0.0,0.517234,0.517234
h2773,h2773.mp3,7.888875,3,1.0,3.03737,4.112086,1.074717
h2773,h2773.mp3,7.888875,3,2.0,5.120635,6.335465,1.21483
h2774,h2774.mp3,8.59425,3,0.0,0.0,0.535329,0.535329
h2774,h2774.mp3,8.59425,3,1.0,3.204399,4.361088,1.156689
h2774,h2774.mp3,8.59425,3,2.0,5.508277,6.765873,1.257596
h2775,h2775.mp3,7.732125,3,0.0,0.0,0.577166,0.577166
h2775,h2775.mp3,7.732125,3,1.0,3.345147,4.475057,1.129909
h2775,h2775.mp3,7.732125,3,2.0,5.233787,6.447392,1.213605
h2776,h2776.mp3,7.497125,3,0.0,0.0,1.017392,1.017392
h2776,h2776.mp3,7.497125,3,1.0,3.943832,4.930181,0.986349
h2776,h2776.mp3,7.497125,3,2.0,5.709841,6.697007,0.987166
h2777,h2777.mp3,8.150125,3,0.0,0.0,0.569615,0.569615
h2777,h2777.mp3,8.150125,3,1.0,3.154649,4.265125,1.110476
h2777,h2777.mp3,8.150125,3,2.0,5.347642,6.519002,1.171361
h2778,h2778.mp3,7.288125,3,0.0,0.0,0.542766,0.542766
h2778,h2778.mp3,7.288125,3,1.0,2.894036,3.920249,1.026213
h2778,h2778.mp3,7.288125,3,2.0,4.74678,5.884739,1.137959
h2779,h2779.mp3,7.5755,3,0.0,0.0,0.552063,0.552063
h2779,h2779.mp3,7.5755,3,1.0,3.058639,4.170227,1.111587
h2779,h2779.mp3,7.5755,3,2.0,5.013084,6.164717,1.151633
h2780,h2780.mp3,7.1575,3,0.0,0.0,0.559773,0.559773
h2780,h2780.mp3,7.1575,3,1.0,2.721247,3.847188,1.125941
h2780,h2780.mp3,7.1575,3,2.0,4.684853,5.809932,1.125079
h2781,h2781.mp3,8.2285,3,0.0,0.0,0.559683,0.559683
h2781,h2781.mp3,8.2285,3,1.0,3.327528,4.625351,1.297823
h2781,h2781.mp3,8.2285,3,2.0,5.531293,6.698934,1.167642
h2782,h2782.mp3,7.549375,3,0.0,0.0,0.5161,0.5161
h2782,h2782.mp3,7.549375,3,1.0,2.960839,4.030612,1.069773
h2782,h2782.mp3,7.549375,3,2.0,4.931315,6.041882,1.110567
h2783,h2783.mp3,7.31425,3,0.0,0.0,0.560091,0.560091
h2783,h2783.mp3,7.31425,3,1.0,2.808481,3.899138,1.090658
h2783,h2783.mp3,7.31425,3,2.0,4.754535,5.876939,1.122404
h2784,h2784.mp3,8.124,3,0.0,0.0,0.582358,0.582358
